n_Full,n_Scalar,n_NeighborProp
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
13,5,1
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,0
18,0,6
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
12,6,0
